clusterName,region,day,apiCallCount,clientAttributeCount,customEventCount,customServerCallsCount,playableSessionCount,rawSessionCount,sessionCount,viewCount,appId,sessionEquivalents
dev-mt-eks-core,eu-west-1,11/09/2025,85806,5370,2400,7770,5556,6033,6033,88010,"[3, 72691, 126447, 136904, 152861, 199151, 210323, 210728, 238832, 239894, 240959, 244037, 249786, 252947, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259589, 262729, 263059, 264006, 271183, 276795, 276872, 279505, 279643, 282681, 283071, 284548, 288188, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623, 299355, 312413]",18679.5
dev-mt-eks-core,eu-west-1,12/09/2025,17452,11334,1818,13152,5480,6402,6402,47494,"[3, 136904, 199151, 210323, 238832, 239894, 240959, 244037, 249786, 252947, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259589, 262729, 263059, 276795, 276872, 279505, 279643, 282681, 283071, 284548, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623]",9552.742857
dev-mt-eks-core,eu-west-1,13/09/2025,14068,10676,1170,11846,5354,6274,6274,46538,"[3, 113983, 210323, 238832, 239894, 240959, 244037, 249786, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259413, 259414, 259589, 262729, 263059, 276795, 276872, 276873, 279505, 279643, 282681, 283071, 284548, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623]",8876.014286
dev-mt-eks-core,eu-west-1,14/09/2025,173338,10672,7654,18326,11848,12774,12774,221058,"[3, 136904, 152861, 210323, 210728, 238832, 239894, 240959, 244037, 249786, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259589, 262729, 263059, 276795, 276872, 276873, 279505, 279643, 282681, 283071, 284548, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623]",38452.87143
dev-mt-eks-core,eu-west-1,15/09/2025,154222,10260,7124,17384,11016,12000,11878,198484,"[3, 72691, 126447, 136904, 152861, 185565, 199151, 210323, 210728, 238832, 239894, 240959, 244037, 249786, 252947, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259589, 262729, 263059, 271183, 276795, 276872, 276873, 279505, 279643, 282681, 283071, 284548, 288188, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623, 298631, 299355, 314000]",34900.91429
dev-mt-eks-core,eu-west-1,16/09/2025,177198,10392,8780,19172,11694,12614,12610,221372,"[3, 72691, 126447, 136904, 152861, 210323, 210728, 238832, 239894, 240959, 244037, 249786, 252947, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259413, 259414, 259415, 259589, 262729, 263059, 276795, 276872, 276873, 279505, 279643, 282681, 283071, 284548, 288188, 289641, 293517, 295427, 295497, 295498, 295508, 295516, 295519, 295521, 295532, 295533, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623, 299355]",38886.6
dev-mt-eks-core,eu-west-1,17/09/2025,33459,1671,1327,2998,1919,2110,2065,39476,"[152861, 210323, 210728, 238832, 239894, 240959, 244037, 249786, 259023, 259025, 259032, 259033, 259191, 259213, 259217, 259303, 259304, 259311, 259315, 259316, 259589, 262729, 263059, 276795, 276872, 279505, 279643, 282681, 283071, 284548, 289641, 293517, 295427, 295498, 295516, 295519, 295521, 295534, 295600, 295604, 295609, 295610, 295611, 295615, 295617, 295618, 295619, 295620, 295621, 295622, 295623, 299355, 311601, 314701, 314702]",7039.757143
